city,season,tavg,tmin,tmax,prcp
atlanta,Fall,17.12,-3.21,33.79,16.56
atlanta,Spring,17.21,-2.24,32.61,26.55
atlanta,Summer,25.98,14.78,35.78,59.13
atlanta,Winter,7.53,-9.22,24.33,27.56
chicago,Fall,12.89,-8.34,33.83,266.21
chicago,Spring,10.47,-10.1,32.73,329.15
chicago,Summer,23.75,10.39,36.0,375.82
chicago,Winter,-1.92,-21.27,16.22,173.51
dallas,Fall,20.85,-0.9,38.46,285.22
dallas,Spring,19.95,-0.63,34.77,288.33
dallas,Summer,30.41,18.56,41.55,194.12
dallas,Winter,9.76,-7.1,27.83,212.74
houston,Fall,22.29,2.0,35.72,322.06
houston,Spring,21.44,3.59,33.83,340.47
houston,Summer,28.93,21.01,38.62,426.09
houston,Winter,13.3,-2.8,27.89,271.53
losangeles,Fall,19.88,8.95,37.11,1.42
losangeles,Spring,16.72,8.5,31.5,1.43
losangeles,Summer,20.73,14.55,32.22,0.03
losangeles,Winter,14.44,4.39,29.33,6.19
miami,Fall,26.24,13.05,34.2,478.67
miami,Spring,24.77,11.45,34.45,335.74
miami,Summer,28.58,21.99,35.22,758.07
miami,Winter,21.43,6.46,30.59,171.23
newyork,Fall,13.88,-3.29,34.94,2.83
newyork,Spring,15.0,-3.13,34.14,1.12
newyork,Summer,25.8,12.47,39.73,10.6
newyork,Winter,0.9,-12.84,17.6,2.46
philadelphia,Fall,15.3,-3.51,34.17,284.69
philadelphia,Spring,12.92,-5.61,33.1,284.64
philadelphia,Summer,25.14,12.28,37.01,378.37
philadelphia,Winter,2.72,-13.17,20.71,283.73
phoenix,Fall,25.34,6.12,43.0,55.44
phoenix,Spring,23.83,7.41,40.27,16.71
phoenix,Summer,34.89,21.73,47.12,49.54
phoenix,Winter,14.16,0.68,28.28,51.72
seattle,Fall,12.56,-1.98,28.66,15.44
seattle,Spring,11.49,-0.33,27.51,10.47
seattle,Summer,19.01,9.27,33.44,4.09
seattle,Winter,6.13,-6.1,15.71,25.85
washingtondc,Fall,16.31,-1.83,34.95,254.72
washingtondc,Spring,14.54,-3.84,33.45,259.5
washingtondc,Summer,26.25,13.99,37.84,340.04
washingtondc,Winter,4.17,-10.92,23.05,231.72
